@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %08s "ICR_IPN2"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720813
@ CHARGE           %le                   1
@ ENERGY           %le         200.0022009
@ PC               %le                 200
@ GAMMA            %le         213.1601322
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le              0.0003
@ SIGT             %le                   1
@ NPART            %le                   0
@ EX               %le     1.641976142e-09
@ EY               %le     3.283952285e-10
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le            2335.975
@ ALFA             %le      0.005796577504
@ ORBIT5           %le                  -0
@ GAMMATR          %le          13.1345191
@ Q1               %le         23.21998653
@ Q2               %le         20.16005938
@ DQ1              %le     6.523722838e-10
@ DQ2              %le     1.748931592e-09
@ DXMAX            %le         5.665685856
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         4212.862086
@ BETYMAX          %le          4208.30176
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.692066567
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %08s "no-title"
@ ORIGIN           %16s "5.04.02 Linux 64"
@ DATE             %08s "27/06/19"
@ TIME             %08s "13.47.44"
* NAME               KEYWORD                             S                  L              ANGLE               BETY               ALFY                MUY                K1L 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le 
 "DQBESDSE"          "DRIFT"                    100.9687456               0.05                  0        242.9720025       -40.44017666        1.225970769                  0
 "QBESDS04"          "QUADRUPOLE"               101.7687456                0.8                  0        272.2119767        5.670970734        1.226453995      -0.1809344503
 "DQBESDSE"          "DRIFT"                    101.8187456               0.05                  0        271.6451842        5.664879909         1.22648326                  0
 "MON"               "MONITOR"                  101.9687456               0.15                  0        269.9484611        5.646607434        1.226571419                  0
 "DBESDS01"          "DRIFT"                    106.9687456                  5                  0        216.5277991        5.037524956        1.229863146                  0
 "BXYC"              "KICKER"                   107.4687456                0.5                  0        211.5207283        4.976616709        1.230234987                  0
 "DQBESDSE"          "DRIFT"                    107.5187456               0.05                  0        211.0233711        4.970525884        1.230272653                  0
 "QBESDS05"          "QUADRUPOLE"               108.3187456                0.8                  0        206.9237339       0.1851344179         1.23088382      0.02279580356
 "DQBESDSE"          "DRIFT"                    108.3687456               0.05                  0        206.9052329        0.184884501         1.23092228                  0
 "MON"               "MONITOR"                  108.5187456               0.15                  0          206.84988       0.1841347503        1.231037678                  0
 "DEC01"             "DRIFT"                    109.0187456                0.5                  0        206.6669949       0.1816355813        1.231422559                  0
 "DSOLECE"           "DRIFT"                    109.1587456               0.14                  0        206.6162349        0.180935814        1.231530387                  0
 "SOLEC01"           "SOLENOID"                 124.1587456                 15                  0        202.3127865       0.1059607447        1.243217517                  0
 "DSOLECE"           "DRIFT"                    124.2987456               0.14                  0        202.2832155       0.1052609774         1.24332766                  0
 "DEC02"             "DRIFT"                    126.7987456                2.5                  0        201.7881502      0.09276513249        1.245297103                  0
 "DEC02"             "DRIFT"                    129.2987456                2.5                  0        201.3555641       0.0802692876        1.247271078                  0
 "DSOLECE"           "DRIFT"                    129.4387456               0.14                  0        201.3331867      0.07956952029        1.247381743                  0
 "SOLEC02"           "SOLENOID"                 144.4387456                 15                  0        200.0707271      0.00459445097        1.259287776                  0
 "DSOLECE"           "DRIFT"                    144.5787456               0.14                  0        200.0695386     0.003894683656        1.259399145                  0
 "DEC01"             "DRIFT"                    145.0787456                0.5                  0        200.0668935     0.001395514679        1.259796897                  0
 "DEC01"             "DRIFT"                    145.5787456                0.5                  0        200.0667476    -0.001103654298        1.260194652                  0
 "DSOLECE"           "DRIFT"                    145.7187456               0.14                  0        200.0671546    -0.001803421612        1.260306023                  0
 "SOLEC02"           "SOLENOID"                 160.7187456                 15                  0        201.2458833     -0.07677849093         1.27221475                  0
 "DSOLECE"           "DRIFT"                    160.8587456               0.14                  0        201.2674792     -0.07747825824        1.272325462                  0
 "DEC02"             "DRIFT"                    163.3587456                2.5                  0        201.6861101     -0.08997410313        1.274300369                  0
 "DEC02"             "DRIFT"                    165.8587456                2.5                  0        202.1672203       -0.102469948        1.276270875                  0
 "DSOLECE"           "DRIFT"                    165.9987456               0.14                  0        202.1960098      -0.1031697153        1.276381082                  0
 "SOLEC01"           "SOLENOID"                 180.9987456                 15                  0        206.4157273      -0.1781447846        1.288077279                  0
 "DSOLECE"           "DRIFT"                    181.1387456               0.14                  0        206.4657058       -0.178844552        1.288185212                  0
 "DEC01"             "DRIFT"                    181.6387456                0.5                  0           206.6458      -0.1813437209        1.288570471                  0
 "MY"                "MARKER"                   181.6387456                  0                  0           206.6458      -0.1813437209        1.288570471                  0
 "BXYC"              "KICKER"                   182.1387456                0.5                  0        206.8283933      -0.1838428899        1.288955393                  0
 "DQAFE"             "DRIFT"                    182.1887456               0.05                  0        206.8467901      -0.1840928068        1.288993866                  0
 "QEC2AE01"          "QUADRUPOLE"               182.9887456                0.8                  0        203.2650755        4.633060957        1.289612865     -0.02356940875
 "DQAFE"             "DRIFT"                    183.0387456               0.05                  0        202.8020457        4.627534859        1.289652059                  0
 "MON"               "MONITOR"                  183.1887456               0.15                  0         201.416272        4.610956566         1.28977018                  0
 "DEC2AE02N"         "DRIFT"                    188.0695883        4.880842714                  0        159.0384877        4.071516279        1.294110987                  0
 "BXYC"              "KICKER"                   188.5695883                0.5                  0        154.9946019        4.016255301        1.294617839                  0
 "DQAFE"             "DRIFT"                    188.6195883               0.05                  0        154.5932526        4.010729203        1.294669248                  0
 "QEC2AE02"          "QUADRUPOLE"               189.4195883                0.8                  0        163.6152052       -15.65746501        1.295483087       0.1236061062
 "DQAFE"             "DRIFT"                    189.4695883               0.05                  0        165.1847129       -15.73268913        1.295531493                  0
 "MON"               "MONITOR"                  189.6195883               0.15                  0        169.9383705       -15.95836151        1.295673982                  0
 "DEC2AE02N"         "DRIFT"                     194.500431        4.880842714                  0        361.5595984       -23.30150388        1.298808042                  0
 "BXYC"              "KICKER"                    195.000431                0.5                  0        385.2372229       -24.05374512        1.299021266                  0
 "DQAFE"             "DRIFT"                     195.050431               0.05                  0        387.6463586       -24.12896925        1.299041858                  0
 "QEC2AE03"          "QUADRUPOLE"                195.850431                0.8                  0         376.027417        38.02244181        1.299368222      -0.1613131109
 "DQAFE"             "DRIFT"                     195.900431               0.05                  0        372.2347911        37.83007471        1.299389492                  0
 "MON"               "MONITOR"                   196.050431               0.15                  0        360.9723339        37.25297341         1.29945462                  0
